COUNTRY,YEAR,FEMALE,MALE,code
Afghanistan,2014,61.3,58.6,
Albania,2014,80.6,74.7,
Algeria,2014,77.3,73.6,
Angola,2014,53.1,50.2,
Antigua and Barbuda,2014,78.4,73.9,
Argentina,2014,79.8,72.5,
Armenia,2014,77.5,71.4,
Australia,2014,84.6,80.7,
Austria,2014,83.8,78.9,
Azerbaijan,2014,75.5,69.4,
Bahamas,2014,78.4,72.2,
Bahrain,2014,77.8,76,
Bangladesh,2014,72.7,70.2,
Barbados,2014,77.7,72.9,
Belarus,2014,77.7,66.3,
Belgium,2014,83.3,78.4,
Belize,2014,72.9,67.4,
Benin,2014,60.7,58.5,
Bhutan,2014,69.7,69.2,
"Bolivia, Plurinational State of",2014,72.9,68,
Bosnia and Herzegovina,2014,79.6,74.8,
Botswana,2014,67.7,62.5,
Brazil,2014,78.5,71.2,
Brunei Darussalam,2014,79.1,76.2,
Bulgaria,2014,77.8,70.9,
Burkina Faso,2014,60.1,58.5,
Burundi,2014,61.1,57.1,
Cote d'Ivoire,2014,53.7,51.9,
Cabo Verde,2014,74.7,71,
Cambodia,2014,70.2,66.1,
Cameroon,2014,58.3,55,
Canada,2014,84,80,
Central African Republic,2014,52.5,49.1,
Chad,2014,54,51.3,
Chile,2014,83.2,77.2,
China,2014,77.4,74.4,
Colombia,2014,78.2,71,
Comoros,2014,64.9,61.6,
Congo,2014,65.6,62.7,
Costa Rica,2014,82,77,
Croatia,2014,81,74.4,
Cuba,2014,81.2,76.8,
Cyprus,2014,82.5,78.2,
Czech Republic,2014,81.5,75.6,
Democratic People's Republic of Korea,2014,73.8,66.7,
"Congo, The Democratic Republic of the",2014,60.9,57.7,
Denmark,2014,82.3,78.4,
Djibouti,2014,64.7,61.3,
Dominican Republic,2014,76.8,70.7,
Ecuador,2014,78.8,73.2,
Egypt,2014,73,68.6,
El Salvador,2014,77.7,68.5,
Equatorial Guinea,2014,59.6,56.4,
Eritrea,2014,66.6,62.1,
Estonia,2014,81.8,72.3,
Ethiopia,2014,66.1,62.3,
Fiji,2014,72.9,66.9,
Finland,2014,83.7,78,
France,2014,85.2,79.1,
Gabon,2014,66.6,64.4,
Gambia,2014,62.1,59.5,
Georgia,2014,78.4,70.5,
Germany,2014,83.2,78.5,
Ghana,2014,63.6,60.7,
Greece,2014,83.5,78.1,
Grenada,2014,75.9,71.1,
Guatemala,2014,75,68.3,
Guinea,2014,58.9,57.4,
Guinea-Bissau,2014,59.9,56.8,
Guyana,2014,68.4,63.8,
Haiti,2014,65.2,61,
Honduras,2014,76.9,72.2,
Hungary,2014,79,72.1,
Iceland,2014,84,81,
India,2014,69.5,66.6,
Indonesia,2014,71,66.9,
Iran (Islamic Republic of),2014,76.5,74.4,
Iraq,2014,71.1,64.9,
Ireland,2014,83.3,79.1,
Israel,2014,84,80.2,
Italy,2014,84.6,80.2,
Jamaica,2014,78.4,73.3,
Japan,2014,86.7,80.3,
Jordan,2014,75.7,72.4,
Kazakhstan,2014,74.5,65.3,
Kenya,2014,65.3,60.6,
Kiribati,2014,68.6,63.4,
Kuwait,2014,75.8,73.6,
Kyrgyzstan,2014,74.8,66.9,
Lao People's Democratic Republic,2014,66.8,63.7,
Latvia,2014,79,69.4,
Lebanon,2014,76.4,73.4,
Lesotho,2014,53.8,50.3,
Liberia,2014,59.8,56.5,
Libya,2014,75.4,69.8,
Lithuania,2014,79,67.9,
Luxembourg,2014,83.8,79.5,
Madagascar,2014,66.7,63.6,
Malawi,2014,59.2,56.1,
Malaysia,2014,77.1,72.5,
Maldives,2014,79.8,76.6,
Mali,2014,57.8,57.7,
Malta,2014,83.5,79.4,
Mauritania,2014,64.4,61.5,
Mauritius,2014,77.4,71,
Mexico,2014,79.4,73.8,
Micronesia (Federated States of),2014,70.6,68.2,
Mongolia,2014,72.8,64.3,
Montenegro,2014,77.9,74,
Morocco,2014,75.1,73.1,
Mozambique,2014,58.3,54.9,
Myanmar,2014,68.3,64.4,
Namibia,2014,68.5,63.1,
Nepal,2014,71,68.2,
Netherlands,2014,83.5,79.8,
New Zealand,2014,83.1,79.8,
Nicaragua,2014,77.7,71.3,
Niger,2014,62.4,60.5,
Nigeria,2014,54.7,52.6,
Norway,2014,83.6,79.6,
Oman,2014,79,74.7,
Pakistan,2014,67.2,65.2,
Panama,2014,80.9,74.6,
Papua New Guinea,2014,65.2,60.3,
Paraguay,2014,75.9,72,
Peru,2014,77.8,72.8,
Philippines,2014,71.8,65.2,
Poland,2014,81.2,73.4,
Portugal,2014,83.7,77.9,
Qatar,2014,79.9,77.3,
Republic of Korea,2014,85.2,78.5,
Republic of Moldova,2014,75.9,67.6,
Romania,2014,78.6,71.2,
Russian Federation,2014,76.1,64.5,
Rwanda,2014,70.8,60.5,
Saint Lucia,2014,77.7,72.4,
Saint Vincent and the Grenadines,2014,75.1,71.2,
