COUNTRY (CODE),COUNTRY (DISPLAY),Display Value,,
VEN,Venezuela (Bolivarian Republic of),5211,,
TZA,United Republic of Tanzania,5483,,
UKR,Ukraine,1843,,
TGO,Togo,5307,,
ZAF,South Africa,4111,,
SGP,Singapore,3979,,
SAU,Saudi Arabia,5384,,
PHL,Philippines,4928,,
OMN,Oman,5102,,
BHS,Bahamas,4119,,
NGA,Nigeria,5251,,
MWI,Malawi,5019,,
KEN,Kenya,5803,,
JOR,Jordan,4026,,
ITA,Italy,2444,,
IRL,Ireland,1509,,
IDN,Indonesia,5220,,
HND,Honduras,4924,,
FRA,France,1907,,
EGY,Egypt,4202,,
PRK,Democratic People's Republic of Korea,2335,,
COK,Cook Islands,4708,,
COG,Congo,4943,,
CMR,Cameroon,5185,,
TJK,Tajikistan,3538,,
TON,Tonga,4087,,
TTO,Trinidad and Tobago,5245,,
ARE,United Arab Emirates,4862,,
ZMB,Zambia,5265,,
SOM,Somalia,5773,,
SVK,Slovakia,1795,,
SEN,Senegal,5356,,
PER,Peru,5906,,
PAN,Panama,4898,,
KHM,Cambodia,5152,,
BWA,Botswana,4868,,
BLR,Belarus,1795,,
BGD,Bangladesh,4029,,
AUS,Australia,3206,,
NZL,New Zealand,2487,,
NRU,Nauru,3022,,
MMR,Myanmar,4565,,
MOZ,Mozambique,4646,,
MDG,Madagascar,4771,,
LUX,Luxembourg,1687,,
IRQ,Iraq,3825,,
HUN,Hungary,1932,,
GUY,Guyana,5203,,
GIN,Guinea,5391,,
GAB,Gabon,4654,,
EST,Estonia,1781,,
DMA,Dominica,5464,,
AND,Andorra,2469,,
SMR,San Marino,1932,,
SYC,Seychelles,5570,,
SYR,Syrian Arab Republic,3501,,
THA,Thailand,4862,,
TLS,Timor-Leste,5637,,
URY,Uruguay,3235,,
LCA,Saint Lucia,5164,,
MDA,Republic of Moldova,1910,,
PLW,Palau,5175,,
BFA,Burkina Faso,5567,,
BRN,Brunei Darussalam,5148,,
BTN,Bhutan,4180,,
AUT,Austria,1888,,
ARG,Argentina,3476,,
NAM,Namibia,5305,,
MCO,Monaco,1907,,
LTU,Lithuania,1801,,
LBR,Liberia,4926,,
LBN,Lebanon,2953,,
KGZ,Kyrgyzstan,3094,,
JAM,Jamaica,4942,,
HTI,Haiti,5016,,
GNB,Guinea-Bissau,5319,,
GRD,Grenada,4875,,
GMB,Gambia,5358,,
FJI,Fiji,4431,,
ETH,Ethiopia,5929,,
SLV,El Salvador,5364,,
CPV,Cabo Verde,5372,,
ALB,Albania,2542,,
NIC,Nicaragua,5078,,
PRY,Paraguay,4038,,
QAT,Qatar,4905,,
RWA,Rwanda,5130,,
SLB,Solomon Islands,4071,,
LKA,Sri Lanka,5264,,
SDN,Sudan,5783,,
SWZ,Swaziland,3900,,
CHE,Switzerland,2158,,
TUN,Tunisia,3262,,
TUV,Tuvalu,5465,,
YEM,Yemen,6089,,
NPL,Nepal,4130,,
MAR,Morocco,3568,,
MUS,Mauritius,5055,,
MHL,Marshall Islands,5325,,
ISL,Iceland,957,,
GTM,Guatemala,5141,,
GHA,Ghana,5166,,
GEO,Georgia,2489,,
ERI,Eritrea,5914,,
DOM,Dominican Republic,4880,,
DJI,Djibouti,5461,,
DNK,Denmark,1691,,
CYP,Cyprus,3439,,
CUB,Cuba,4401,,
CIV,Cote d'Ivoire,4931,,
COL,Colombia,5385,,
CHL,Chile,3982,,
BIH,Bosnia and Herzegovina,2205,,
BEL,Belgium,1645,,
BRB,Barbados,5787,,
AGO,Angola,5287,,
LVA,Latvia,1671,,
KIR,Kiribati,6229,,
IRN,Iran (Islamic Republic of),4038,,
ROU,Romania,2071,,
KNA,Saint Kitts and Nevis,5009,,
STP,Sao Tome and Principe,4422,,
SLE,Sierra Leone,5087,,
ESP,Spain,2705,,
USA,United States of America,2736,,
VUT,Vanuatu,4555,,
KOR,Republic of Korea,2535,,
BDI,Burundi,5111,,
BLZ,Belize,4639,,
BHR,Bahrain,4419,,
AZE,Azerbaijan,2702,,
ATG,Antigua and Barbuda,5148,,
VNM,Viet Nam,4293,,
NIU,Niue,4687,,
NLD,Netherlands,1662,,
FSM,Micronesia (Federated States of),4587,,
MLT,Malta,3091,,
MLI,Mali,5617,,
KAZ,Kazakhstan,2257,,
ISR,Israel,3682,,
GRC,Greece,2753,,
FIN,Finland,1494,,
GNQ,Equatorial Guinea,4635,,
